SMILES Labelled,ConBase_pKa,pB,qB,Reference
O=[N+]([O-])c1cc([N+](=O)[O-])c([O-:10])c([N+](=O)[O-])c1,0.3,1,3,Reich Table
[O-:10]c(c([nH]nc1)c1c([N+]([O-])=O)c1)c1[N+]([O-])=O,2.5,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c1ccccc11)c(C[NH+](CC)CC)cc1[N+]([O-])=O,2.82,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c([N+]([O-])=O)cc1c2CC1=O)c2Br,2.88,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c1cc2[n+](C)c3ccccc3nc2cc1,3,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c1ccccc11)c(C[NH+]2CCOCC2)cc1[N+]([O-])=O,3,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(C=O)cc([N+]([O-])=O)c1)c1Br,3.48,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(ccc(Cl)c1)c1[N+]([O-])=O,3.5,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(Cl)cc([N+]([O-])=O)c1)c1Cl,3.7,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(Br)cc([N+]([O-])=O)c1)c1Br,3.7,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(ccc1c2CC1=O)c2[N+]([O-])=O,3.98,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1,4.09,1,3,"Raamat, E.; Kaupmees, K.; Ovsjannikov, G.; Trummal, A.; Kütta, A.; Saame, J.; Koppel, I.; Kaljurand, I.; Lipping, L.; Rodima, T.; Pihl, V.; Koppel, I. A.;  Leito, I. J. Phys. Org. Chem. 2013, 26, 162 - 170."
[O-:10]c(c(C)c1)cc(C(C)C)c1[N+]([O-])=O,4.2,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(Br)cc(C(c1c2cccc1)(c(cc1Br)cc(Br)c1O)OS2(=O)=O)c1)c1Br,4.2,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(ccc([N+]([O-])=O)c1)c1[N+](C)(C)C,4.35,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(C=O)cc(Cl)c1)c1[N+]([O-])=O,4.46,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(C=O)cc(Br)c1)c1[N+]([O-])=O,4.46,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(Cl)c1)c(C[NH+]2CCOCC2)c(Cl)c1Cl,4.84,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c1cccc2[n+](C)c3ccccc3nc12,4.85,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(C[NH+]1CCOCC1)c(cc1Cl)Cl)c1Cl,4.915,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(ccc([N+](C)(C)C)c1)c1[N+]([O-])=O,5.03,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(Cl)c1)c(C[NH+]2CCCCC2)c(Cl)c1Cl,5.06,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(ccc(C(C)=O)c1)c1[N+]([O-])=O,5.09,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(Cl)c1)c(C[NH+](CC)CC)c(Cl)c1Cl,5.13,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(C[NH+](C)C)c1)c(C[NH+](C)C)cc1Cl,5.2,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(ccc(C(OC)=O)c1)c1[N+]([O-])=O,5.4,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(cc1)c(N=O)c2c1ncs2,5.43,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(ccc(C(OCC)=O)c1)c1[N+]([O-])=O,5.44,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c1cc2[n+](C)cccc2cc1,5.56,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c1cccc2[nH+]c3ccccc3c(N)c12,5.61,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(cc1)c(C[NH+]2CCOCC2)cc1[N+]([O-])=O,5.61,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(C[NH+](C)C)c1)c(C[NH+](C)C)cc1-c1ccccc1,5.65,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(C[NH+]1CCOCC1)cc(Cl)c1)c1Cl,5.67,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(ccc1c2CC1=O)c2Br,5.75,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(cc1)c(C[NH+](CC)CC)cc1[N+]([O-])=O,5.75,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(cc1)c(C[NH+](C)C)cc1[N+]([O-])=O,5.75,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(Cl)c1)c(C(NCC2[NH+](CC)CCC2)=O)c(OC)c1Cl,5.75,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]c(c(C(NCC1[NH+](CC)CCC1)=O)c(cc1)OC)c1[N+]([O-])=O,5.75,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
