SMILES Labelled,ConBase_pKa,pB,qB,Reference
O=C([O-])C[NH+](CC(=O)[O-])Cc1cc(Cl)cc(C[N:10](CC(=O)[O-])CC(=O)[O-])c1[O-],11.6,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
CC1CC[N:10](C(/C=C(c2sccc2)\c3sccc3)C)CC1,8.2,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
CC1C[N:10](C(/C=C(c2sccc2)\c3sccc3)C)CCC1,8.28,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
CC[N:10](C(/C=C(c1sccc1)\c2sccc2)C)CC,8.9,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
CC(/C=C(c1sccc1)\c2sccc2)[N:10]3CCCCCCC3,7.52,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
CC(/C=C(c1sccc1)\c2sccc2)[N:10]3CCCCCC3,7.96,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
CC(/C=C(c1sccc1)\c2sccc2)[N:10]3CCCCC3,8.46,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
CC(/C=C(c1sccc1)\c2sccc2)[N:10]3C(CCCC3)C,7.46,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
C[N:10](C(/C=C(c1sccc1)\c2sccc2)C)C,8.95,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CP(OCC)(OCC)=O)CCOCC1,4,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CN(C2)C3)CN3CN2C1,4.95,1,4,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CN(C2)C3)C[NH+]3CN2C1,-1.7,2,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCS(c(ccc(OC)c2OC)c2OC)(=O)=O)CCOCC1,4.89,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCS(c(ccc(OC)c2OC)c2OC)(=O)=O)CCCCC1,7.24,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCS([O-])(=O)=O)CCOCC1,6.16,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCOCC1)C(C)CC(c1ccccc1)c1ccccc1,6.9,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCOCC1)C(C)CC(c1ccccc1)(c1ccccc1)C#N,6.1,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCOCC1)C(C)CC(C(CC)=O)(c1ccccc1)c1ccccc1,6.89,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCOC(Cc(cccc2)c2Nc(c(Cl)ccc2)c2Cl)=O)CCOCC1,7.52,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCOC(c2ccccc2)c2ccccc2)CCCCC1,8.03,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCO)CCOCC1,7.18,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCO)CC[NH2+]CC1,5.47,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCO)CC[NH+](CCCN2c(cc(cc3)Cl)c3Sc3c2cccc3)CC1,3.59,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNS(c(ccc(OC)c2OC)c2OC)(=O)=O)CCOCC1,6.16,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc2ccccc2)CCCCC1,9.2,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc2c(C=O)cc(-c3ccccc3)nn2)CCOCC1,6.89,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc2c(C(F)(F)F)cc(-c3ccccc3)nn2)CCOCC1,6.75,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(nnc(-c2ccccc2)c2)c2Cl)CCOCC1,6.64,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(nnc(-c2ccccc2)c2)c2C(OCC)=O)CCOCC1,6.67,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(nnc(-c2ccccc2)c2)c2C([O-])=O)CCOCC1,7.07,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(nnc(-c2ccccc2)c2)c2[N+]([O-])=O)CCOCC1,6.56,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(cc2)nnc2-c2ccccc2)CCOCC1,6.74,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(cc2)[n+](C)nc2-c2ccccc2)CCOCC1,5.31,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(c(CO)c2)nnc2-c2ccccc2)CCOCC1,6.99,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(c(Cc2ccccc2)c2)nnc2-c2ccccc2)CCOCC1,6.95,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNC(c(cc2)ccc2Cl)=O)CCOCC1,6.31,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(c(CC)c2)nnc2-c2ccccc2)CCOCC1,7.08,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(c(C#N)c2)nnc2-c2ccccc2)CCOCC1,6.5,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(c(C)c2)nnc2-c2ccccc2)CCOCC1,7.05,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(c(C)c2)[n+](C)nc2-c2ccccc2)CCOCC1,5.12,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNC(c(c(C)c2)c(C)cc2N)=O)CCOCC1,5.96,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNc(c(-c2ccccc2)c2)nnc2-c2ccccc2)CCOCC1,6.81,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCNC(/C=N/O)=O)CCOCC1,6.19,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCN2CCOCC2)CCOCC1,6.65,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCN2CCCCC2)CCCCC1,9.43,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCN2CCCC2)CCCC1,9.47,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCN(C(C(C)(C2=CCCCC2)C(N2C)=O)=O)C2=O)CCOCC1,5.75,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCS([O-])(=O)=O)CCOCC1,7.17,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCOc(cc2)ccc2OCCCC)CCOCC1,6.24,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCOC(Cc(cccc2)c2Nc(c(Cl)ccc2)c2Cl)=O)CCOCC1,7.99,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCNS(c(ccc(OC)c2OC)c2OC)(=O)=O)CCOCC1,6.76,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCNC(c(cc2)ccc2Cl)=O)CCOCC1,6.81,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCN2CCOCC2)CCOCC1,7.25,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCN2CCCCC2)CCCCC1,10.08,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCN2CCCC2)CCCC1,10.04,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCCl)CCOCC1,6.27,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
