SMILES Labelled,ConBase_pKa,Reference
[O:10]=C(C(F)(F)F)O,-15.2,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[PH3:10],-14,"Henderson Jr, W. A.; Streuli, C. A. J. Am. Chem. Soc. 1960, 82, 5791 - 5794."
CC[S:10]C(O)(O)C(F)(F)F,-12.61,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
O=[N+]([O-:10])c1ccccc1,-12.4,Reich Table
O=S(=O)([O-:10])C(F)(F)F,-12,"Raamat, E.; Kaupmees, K.; Ovsjannikov, G.; Trummal, A.; Kütt, A.; Saame, J.; Koppel, I.; Kaljurand, I.; Lipping, L.; Rodima, T.; Pihl, V.; Koppel, I. A.; Leito, I. J. Phys. Org. Chem. 2013, 26, 162 - 170."
[O:10]=C(C(F)(F)F)SCC,-10.9,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
COC(=O)C[S:10]C(C)O,-10.63,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[N:10]#Cc1ccccc1,-10.5,Reich Table
[I-:10],-10.3,"Levanov, A. V.; Gurbanova, U. D.; Isaikina, O. Y.; Lunin, V.  V. Russ. J. Phys. Chem. 2019, 93, 93 - 101."
[N:10]#CC,-10,"Bagno, A.; Scorrano, G. J. Am. Chem. Soc. 1988, 110, 4577 - 4582."
[Br-:10],-9.8,"Levanov, A. V.; Gurbanova, U. D.; Isaikina, O. Y.; Lunin, V.  V. Russ. J. Phys. Chem. 2019, 93, 93 - 101."
CC[S:10]C(O)O,-9.73,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[NH2:10]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-9.3,Reich Table
CC[S:10]C(C)(O)O,-9.07,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[N:10](C)(C)c1c2c([NH+](C)C)cccc2ccc1,-9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=CO,-8.8,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
COCC[S:10]C(C)O,-8.80,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[S:10]=C(\C(C)(C)[NH3+])/N,-8.75,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
COC(C(F)(F)F)=[O:10],-8.74,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[S:10]=C(\C(Cc1ccccc1)[NH3+])/N,-8.63,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S:10]=C(\C[NH3+])/N,-8.39,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C,-8.2,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[S:10]=C(\C1(CCCCC1)[NH3+])/N,-8.08,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[OH:10]C(c1ccccc1)c(cc1)ccc1OC,-8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CC[S:10]C(C)O,-7.91,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[NH:10](C(C)CCC[NH+](CC)CC)c1c(cc(cc2)OC)c2[nH+]cc1,-7.83,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(O)c1ccccc1,-7.8,Reich Table
[N:10](C)(C)c1cc[nH+]cc1,-7.78,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(C)c(cc1)cc[n+]1O,-7.58,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=CSCC,-7.4,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[O:10]=C(C)O,-7.4,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[Cl-:10],-7.3,"Levanov, A. V.; Gurbanova, U. D.; Isaikina, O. Y.; Lunin, V.  V. Russ. J. Phys. Chem. 2019, 93, 93 - 101."
[O:10]=CC,-7.2,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[O-:10]S(c(cc1)ccc1[N+]([O-])=O)(=O)=O,-7.15,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]S(c1cc([N+]([O-])=O)ccc1)(=O)=O,-7.1,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[OH:10]C1C=CC=CC=C1,-7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[OH:10]C(C)c1ccccc1,-7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]S(c1cc(C(F)(F)F)ccc1)(=O)=O,-6.93,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]S(c(cc1)ccc1Br)(=O)=O,-6.72,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(\CN1C(c2ccccc2)=O)/NC1=S,-6.6,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]S(c1cc(C)ccc1)(=O)=O,-6.56,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
C[O:10]c1ccccc1,-6.5,Reich Table
