SMILES Labelled,ConBase_pKa,pB,qB,Reference
O=C([O-:10])[C+]1C=CC=CC=C1,3.29,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C=O,3.69,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSCCCC)=O,3.81,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSCCc1ccccc1)=O,3.8,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSCCC)=O,3.77,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSCc1ccccc1)=O,3.73,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSc1nc(C(C)(C)C)n[n]1C(N(C)C)=O)=O,3.49,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSc1ccccc1)=O,3.52,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSc1ccc(C)cc1)=O,3.57,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSc1ccc(C(C)(C)C)cc1)=O,3.76,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSc1cc(C)ccc1)=O,3.52,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSc1cc([N+]([O-])=O)ccc1)=O,3.4,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSc1c(C)cccc1)=O,3.46,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[O-:10]C(CSc1[nH+]c2cc3ccccc3cc2[nH]1)=O,1.9,1,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
